# Corrections de qqs noms de fichiers : [ProviderName]_[Region/Consortium]_[PackageName]_[YYYY-MM-DD].txt
# Avant	Après
Europresse_France_BibPub	EUROPRESSE_FRANCE_BIBPUB
Europresse_Global_BibESR	EUROPRESSE_GLOBAL_BIBESR
lexis360intelligence.fr_AllTitles	LEXISNEXIS_COUPERIN_LEXIS360
numeriquepremium_Global_AllTitles	NUMERIQUEPREMIUM_GLOBAL_ALLEBOOKS
OpenAcess	OPENACCESS
OpenEdition_Global_AllEbooks	OPENEDITION_GLOBAL_ALLEBOOKS
OpenEdition_Global_AllJournals	OPENEDITION_GLOBAL_ALLJOURNALS
OpenEdition_Global_AllTitles	OPENEDITION_GLOBAL_ALLTITLES
OpenEdition_Global_Ebooks-Exclusive-Access	OPENEDITION_GLOBAL_EBOOKS-EXCLUSIVE-ACCESS
OpenEdition_Global_Ebooks-OpenAccess	OPENEDITION_GLOBAL_EBOOKS-OPENACCESS
OpenEdition_Global_Ebooks-OpenAccess-Freemium	OPENEDITION_GLOBAL_EBOOKS-OPENACCESS-FREEMIUM
OpenEdition_Global_Hypotheses	OPENEDITION_GLOBAL_HYPOTHESES
OpenEdition_Global_Journals-OpenAccess	OPENEDITION_GLOBAL_JOURNALS-OPENACCESS
OpenEdition_Global_Journals-with-Embargo-Period	OPENEDITION_GLOBAL_JOURNALS-WITH-EMBARGO-PERIOD
OpenEdition_Global_Journals-OpenAccess-Freemium	OPENEDITION_GLOBAL_JOURNALS-OPENACCESS-FREEMIUM
PERSEE_Global_AllTitles	PERSEE_GLOBAL_ALLJOURNALS
projectmuse_2022-psychology	PROJECTMUSE_GLOBAL_PSYCHOLOGY
projectmuse_arts-collection	PROJECTMUSE_COUPERIN_ARTS
projectmuse_asian-studies-collection	PROJECTMUSE_COUPERIN_ASIAN-STUDIES
projectmuse_basic-college-collection	PROJECTMUSE_COUPERIN_BASIC-COLLEGE
projectmuse_basic-research-collection	PROJECTMUSE_COUPERIN_BASIC-RESEARCH
projectmuse_history-collection	PROJECTMUSE_COUPERIN_HISTORY
projectmuse_humanities-collection	PROJECTMUSE_COUPERIN_HUMANITIES
projectmuse_literature-core-collection	PROJECTMUSE_COUPERIN_LITERATURE-CORE
projectmuse_literature-expanded-collection	PROJECTMUSE_COUPERIN_LITERATURE-EXPANDED
projectmuse_philosophy-&-religion-collection	PROJECTMUSE_COUPERIN_PHILOSOPHY-AND-RELIGION
projectmuse_premium-collection	PROJECTMUSE_COUPERIN_PREMIUM
projectmuse_single-title-collection	PROJECTMUSE_GLOBAL_SINGLE-TITLE-EBOOKS
projectmuse_social-sciences-collection	PROJECTMUSE_COUPERIN_SOCIAL-SCIENCES
projectmuse_standard-collection	PROJECTMUSE_COUPERIN_STANDARD
TechniquesIngenieur	TI
